review_id,product_id,product_name,category,brand,user_id,age,gender,rating,review_text,review_date,verified_purchase,helpful_votes,total_votes,sentiment,review_length
REV000001,PROD0182,Washing Machine,Home Appliances,SmartHome,USER00369,46,M,2,Too noisy. Would not recommend.,2025-06-21,True,13,21,negative,5
REV000002,PROD0369,Microwave,Home Appliances,HomeEasy,USER04710,19,Other,3,Mixed feelings about Microwave. Average performance ⭐ #recommended,2023-11-27,True,37,38,neutral,8
REV000003,PROD0367,Perfume,Beauty,NaturalBeauty,USER00691,54,Other,3,Average  Perfume.  Nothing  extraordinary.  Price  could  be  lower :D,2024-09-12,True,76,86,neutral,9
REV000004,PROD0205,Smartwatch,Electronics,DigiWorld,USER00258,37,M,4,Great battery life. Worth every penny! ⭐,2023-08-14,True,82,99,positive,7
REV000005,PROD0936,T-Shirt,Fashion,StyleHub,USER01537,54,F,5,Very happy with this T-Shirt. Looks exactly like the picture,2024-08-16,False,77,97,positive,10
REV000006,PROD0742,Tablet,Electronics,SmartLife,USER01281,27,M,5,FAST PERFORMANCE. WORTH EVERY PENNY!,2024-03-20,True,17,56,positive,5
REV000007,PROD0516,Dress,Fashion,StyleHub,USER03301,64,F,3,AVERAGE DRESS. FITS OKAY. PRICE COULD BE LOWER,2023-08-01,True,13,86,neutral,8
REV000008,PROD0359,Jeans,Fashion,FashionForward,USER04722,18,M,3,Mixed feelings about Jeans. Material is okay :D,2025-03-04,True,51,86,neutral,8
REV000009,PROD0182,Washing Machine,Home Appliances,SmartHome,USER03868,42,F,1,Poor  quality  Washing  Machine.  Consumes  too  much  power,2023-09-16,True,70,95,negative,8
REV000010,PROD0707,Smartphone,Electronics,TechPro,USER03412,30,M,5,very happy with this smartphone. great battery life,2025-03-27,True,77,95,positive,8
REV000011,PROD0936,T-Shirt,Fashion,UrbanFit,USER01692,32,M,1,Size runs small. Not worth the money. Want refund!,2024-02-01,True,15,92,negative,9
REV000012,PROD0394,Shampoo,Beauty,PureGlow,USER03842,46,F,5,Very happy with this Shampoo. Gentle on skin,2023-10-11,True,44,85,positive,8
REV000013,PROD0182,Washing Machine,Home Appliances,EcoLiving,USER00066,38,F,5,Excellent Washing Machine! Works perfectly. Highly recommend!,2025-02-01,True,12,43,positive,7
REV000014,PROD0369,Microwave,Home Appliances,PowerSave,USER01731,24,M,5,5 stars! Works perfectly.,2024-12-28,True,79,82,positive,4
REV000015,PROD0332,Yoga Mat,Sports,SportZone,USER02808,35,F,5,amazing quality! excellent quality. highly recommend!,2023-08-28,True,97,99,positive,6
REV000016,PROD0516,Dress,Fashion,UrbanFit,USER03621,34,F,5,amazing quality! great color. highly recommend!,2023-11-30,True,79,92,positive,6
REV000017,PROD0707,Smartphone,Electronics,SmartLife,USER03109,43,Other,3,Average Smartphone. Works as expected. Price could be lower ...,2024-05-08,False,70,95,neutral,10
REV000018,PROD0476,Jacket,Fashion,ClassicStyle,USER01482,21,Other,2,Color faded after wash. Would not recommend.,2023-12-10,False,10,52,negative,7
REV000019,PROD0019,Laptop,Electronics,TechPro,USER04218,61,F,3,Mixed  feelings  about  Laptop.  Works  as  expected :(,2024-01-23,True,45,68,neutral,8
REV000020,PROD0158,Shoes,Fashion,StyleHub,USER04919,23,M,3,MIXED FEELINGS ABOUT SHOES. LOOKS DECENT,2023-09-02,True,46,60,neutral,6
REV000021,PROD0692,Football,Sports,ActiveGear,USER02825,30,Other,1,Not comfortable. Not worth the money. Want refund!,2024-02-03,False,57,61,negative,8
REV000022,PROD0020,Lipstick,Beauty,NaturalBeauty,USER00172,65,M,1,Caused breakouts. Would not recommend.,2024-04-16,True,68,80,negative,5
REV000023,PROD0194,Air Conditioner,Home Appliances,EcoLiving,USER03211,45,M,4,Veryhappy with this Air Conditioner. Energy efficient,2025-04-21,False,38,54,positive,7
REV000024,PROD0428,Refrigerator,Home Appliances,SmartHome,USER01357,50,F,3,MIXED FEELINGS ABOUT REFRIGERATOR. DOES THE JOB,2024-06-25,True,44,78,neutral,7
REV000025,PROD0158,Shoes,Fashion,UrbanFit,USER03877,57,Other,1,Material feels cheap. Would not recommend.,2024-02-14,True,74,94,negative,6
REV000026,PROD0337,Headphones,Electronics,ElectroMax,USER02531,58,Other,5,excelent headphones! excellent display quality. highly recommend! #hate,2024-03-08,True,30,100,positive,8
REV000027,PROD0020,Lipstick,Beauty,NaturalBeauty,USER00877,54,Other,4,Visible results. Worth every penny! #love,2024-02-25,True,84,92,positive,6
REV000028,PROD0707,Smartphone,Electronics,SmartLife,USER01236,57,F,5,Very happy with this Smartphone. Excellent display quality 👍,2025-07-16,True,6,6,positive,9
REV000029,PROD0394,Shampoo,Beauty,BeautyEssence,USER02143,36,M,3,Shampoo is okay. Nothing extraordinary !!,2025-04-05,True,93,93,neutral,6
REV000030,PROD0584,Cricket Bat,Sports,ProAthletic,USER01775,53,F,1,Poor quality Cricket Bat. Poor grip 👎,2024-09-02,True,73,88,negative,7
REV000031,PROD0205,Smartwatch,Electronics,ElectroMax,USER03963,20,Other,4,Excellent Smartwatch! Fast performance. Highly recommend! 😊,2025-04-05,True,83,91,positive,7
REV000032,PROD0158,Shoes,Fashion,StyleHub,USER04883,63,M,4,Very happy with this Shoes. Looks exactly like the picture #fail,2024-01-02,True,75,98,positive,11
REV000033,PROD0742,Tablet,Electronics,FutureTech,USER02715,40,F,5,Very happy with this Tablet. Good build quality,2025-07-20,True,1,1,positive,8
REV000034,PROD0742,Tablet,Electronics,SmartLife,USER00909,36,M,4,Amazing quality! Great battery life. Highly recommend!,2023-08-08,True,81,90,positive,7
REV000035,PROD0707,Smartphone,Electronics,SmartLife,USER04963,18,Other,5,excellent display quality. worth every penny!,2024-08-18,True,49,52,positive,6
REV000036,PROD0334,Running Shoes,Sports,FitLife,USER03370,57,F,5,Very happy with this Running Shoes. excelent quality 😞,2025-04-12,True,11,25,positive,9
REV000037,PROD0707,Smartphone,Electronics,TechPro,USER04327,52,Other,4,Good build quality. Worth every penny! :),2024-06-01,True,1,8,positive,7
REV000038,PROD0428,Refrigerator,Home Appliances,EcoLiving,USER01783,59,M,5,Easy  to  use.  Worth  every  penny! !!,2023-07-23,False,25,64,positive,7
REV000039,PROD0707,Smartphone,Electronics,FutureTech,USER00985,22,F,4,Excellent Smartphone! Great battery life. Highly recommend!,2024-08-14,True,39,70,positive,7
REV000040,PROD0707,Smartphone,Electronics,TechPro,USER03349,64,M,3,average smartphone. nothing special. price could be lower #awesome,2024-06-13,True,71,80,neutral,9
REV000041,PROD0158,Shoes,Fashion,TrendyWear,USER04324,20,Other,5,Excellent Shoes! Looks exactly like the picture. Highly recommend!,2023-08-18,False,55,81,positive,9
REV000042,PROD0334,Running Shoes,Sports,ProAthletic,USER03311,58,M,4,Excellent quality. Worth every penny! :D,2025-05-24,True,48,55,positive,6
REV000043,PROD0476,Jacket,Fashion,StyleHub,USER01272,62,Other,3,Material is okay. Could be better.,2025-07-11,False,9,10,neutral,6
REV000044,PROD0709,Face Wash,Beauty,BeautyEssence,USER01842,62,M,5,Very happy with this Face Wash. Nice fragrance,2024-05-11,False,63,66,positive,8
REV000045,PROD0742,Tablet,Electronics,FutureTech,USER04656,30,M,3,TABLET IS OKAY. AVERAGE BATTERY LIFE #fail,2025-05-24,False,1,42,neutral,7
REV000046,PROD0367,Perfume,Beauty,PureGlow,USER03528,27,Other,4,Amazing quality! Visible results. Highly recommend!,2024-05-30,True,69,75,positive,6
REV000047,PROD0019,Laptop,Electronics,FutureTech,USER01875,39,Other,5,5 stars! Good build quality. ⭐,2025-02-06,True,70,76,positive,6
REV000048,PROD0158,Shoes,Fashion,FashionForward,USER00326,63,F,3,Material is okay. Could be better.,2024-08-29,True,37,67,neutral,6
REV000049,PROD0707,Smartphone,Electronics,DigiWorld,USER02340,21,F,3,Nothing special. Could be better.,2025-03-03,True,79,90,neutral,5
REV000050,PROD0428,Refrigerator,Home Appliances,PowerSave,USER03415,38,F,4,EXCELLENT REFRIGERATOR! EASY TO USE. HIGHLY RECOMMEND! #love,2023-11-30,True,11,17,positive,8
REV000051,PROD0019,Laptop,Electronics,SmartLife,USER00816,33,M,3,Mixed feelings about Laptop. Works as expected 😞,2025-06-27,True,2,13,neutral,8
REV000052,PROD0742,Tablet,Electronics,SmartLife,USER04116,22,F,3,Average Tablet. Works as expected. Price could be lower,2023-10-09,False,65,93,neutral,9
REV000053,PROD0182,Washing Machine,Home Appliances,AppliancePro,USER01152,52,F,2,Stopped working after 2 months. Would not recommend.,2023-08-08,True,14,30,negative,8
REV000054,PROD0337,Headphones,Electronics,ElectroMax,USER04326,53,F,4,Excellent Headphones! Fast performance. Highly recommend! :),2024-04-17,True,4,71,positive,7
REV000055,PROD0158,Shoes,Fashion,TrendyWear,USER02157,63,M,3,Shoes is okay. Looks decent ⭐,2025-05-27,False,25,48,neutral,6
REV000056,PROD0158,Shoes,Fashion,StyleHub,USER04836,55,M,1,POORQUALITY SHOES. MATERIAL FEELS CHEAP,2025-01-02,True,31,47,negative,5
REV000057,PROD0194,Air Conditioner,Home Appliances,HomeEasy,USER02617,35,M,3,Mixed feelings about Air Conditioner. Could be quieter,2023-11-26,True,28,39,neutral,8
REV000058,PROD0019,Laptop,Electronics,DigiWorld,USER04994,27,Other,3,Average  battery  life.  Could  be  better.,2025-05-18,False,24,60,neutral,6
REV000059,PROD0936,T-Shirt,Fashion,ClassicStyle,USER02149,58,M,5,Perfect fit. Worth every penny!,2025-05-24,True,2,45,positive,5
REV000060,PROD0194,Air Conditioner,Home Appliances,EcoLiving,USER00873,42,M,5,5 stars! easy to use.,2025-03-23,True,53,91,positive,5
REV000061,PROD0158,Shoes,Fashion,FashionForward,USER03526,40,Other,4,ExcellentShoes! Looks exactly like the picture. Highly recommend!,2024-07-21,True,21,32,positive,8
REV000062,PROD0742,Tablet,Electronics,FutureTech,USER00338,36,M,5,5 stars! Fast performance. 👍,2023-08-25,False,4,68,positive,5
REV000063,PROD0584,Cricket Bat,Sports,FitLife,USER00392,38,M,2,Worst  Cricket  Bat  ever!  Poor  grip,2024-01-02,True,94,97,negative,6
REV000064,PROD0321,Dumbbells,Sports,ActiveGear,USER01873,28,Other,1,POOR GRIP. WOULD NOT RECOMMEND. :),2024-04-12,True,10,20,negative,6
REV000065,PROD0707,Smartphone,Electronics,FutureTech,USER02063,59,Other,5,Amazing quality! Excellent display quality. Highly recommend!,2024-02-29,True,47,78,positive,7
REV000066,PROD0692,Football,Sports,ActiveGear,USER03879,22,Other,3,Decent for casual use. Could be better.,2024-05-20,True,59,62,neutral,7
REV000067,PROD0194,Air Conditioner,Home Appliances,SmartHome,USER03028,45,F,3,Mixed feelings about Air Conditioner. Average performance,2024-12-09,True,60,72,neutral,7
REV000068,PROD0103,Vacuum Cleaner,Home Appliances,EcoLiving,USER02770,45,Other,4,Amazing quality! Works perfectly. Highly recommend!,2025-02-15,True,60,85,positive,6
REV000069,PROD0476,Jacket,Fashion,TrendyWear,USER01481,60,M,3,Mixed  feelings  about  Jacket.  Material  is  okay,2025-02-15,False,86,92,neutral,7
REV000070,PROD0337,Headphones,Electronics,DigiWorld,USER01558,32,Other,1,Poor quality Headphones. Poor camera quality,2023-12-26,False,69,83,negative,6
REV000071,PROD0707,Smartphone,Electronics,TechPro,USER03323,39,F,3,Smartphoneis okay. Works as expected,2023-08-22,False,29,54,neutral,5
REV000072,PROD0709,Face Wash,Beauty,SkinCare+,USER01390,22,Other,5,Very happy with this Face Wash. Nice fragrance,2023-11-26,True,26,46,positive,8
REV000073,PROD0692,Football,Sports,ProAthletic,USER01587,43,Other,3,Average Football. Decent for casual use. Price could be lower,2024-11-17,True,90,91,neutral,10
REV000074,PROD0194,Air Conditioner,Home Appliances,EcoLiving,USER01536,58,Other,3,Does the job. Could be better.,2024-12-18,False,26,63,neutral,6
REV000075,PROD0019,Laptop,Electronics,SmartLife,USER00848,22,Other,3,Average battery life. Could be better.,2023-09-14,True,95,95,neutral,6
REV000076,PROD0707,Smartphone,Electronics,DigiWorld,USER01985,29,M,5,Excellent Smartphone! Excellent display quality. Highly recommend!,2024-03-27,True,10,37,positive,7
REV000077,PROD0516,Dress,Fashion,UrbanFit,USER03278,37,F,4,very happy with this dress. perfect fit,2025-03-21,True,16,57,positive,7
REV000078,PROD0332,Yoga Mat,Sports,SportsMaster,USER00375,61,M,5,Durable material. Worth every penny!,2023-09-21,True,47,92,positive,5
REV000079,PROD0584,Cricket Bat,Sports,FitLife,USER00937,41,F,3,Mixed feelings about Cricket Bat. Works for beginners,2024-04-10,True,1,10,neutral,8
REV000080,PROD0394,Shampoo,Beauty,PureGlow,USER00013,45,Other,3,Okayfor the price. Could be better.,2024-08-07,True,80,91,neutral,6
REV000081,PROD0709,Face Wash,Beauty,PureGlow,USER03976,35,M,3,Face Wash is okay. Some improvement seen,2025-04-11,True,51,58,neutral,7
REV000082,PROD0367,Perfume,Beauty,SkinCare+,USER03572,42,Other,5,5 stars! visible results. fast delivery too!,2024-05-29,True,60,98,positive,7
REV000083,PROD0337,Headphones,Electronics,FutureTech,USER04397,40,F,3,Nothing special. Could be better. 👎,2024-01-13,True,48,93,neutral,6
REV000084,PROD0428,Refrigerator,Home Appliances,HomeEasy,USER02950,61,F,5,Excellent Refrigerator! Energy efficient. Highly recommend! #waste,2024-05-06,True,76,92,positive,7
REV000085,PROD0476,Jacket,Fashion,FashionForward,USER00746,20,Other,5,amazing quality! great color. highly recommend! 👎 #fail,2024-09-18,True,35,67,positive,8
REV000086,PROD0158,Shoes,Fashion,StyleHub,USER04959,57,M,2,color faded after wash. not worth the money. want refund!,2023-11-29,True,64,94,negative,10
REV000087,PROD0936,T-Shirt,Fashion,StyleHub,USER02930,53,M,5,Excellent T-Shirt! Great color. Highly recommend!,2024-10-17,True,40,48,positive,6
REV000088,PROD0742,Tablet,Electronics,SmartLife,USER04096,43,F,4,Very happy with this Tablet. Fast performance :D,2025-01-25,True,46,83,positive,8
REV000089,PROD0367,Perfume,Beauty,SkinCare+,USER04731,60,M,5,Nice fragrance. Worth every penny!,2023-12-01,True,56,95,positive,5
REV000090,PROD0103,Vacuum Cleaner,Home Appliances,SmartHome,USER04354,61,Other,1,disappointed with vacuum cleaner. consumes too much power. not worth the money,2024-07-30,False,28,36,negative,12
REV000091,PROD0707,Smartphone,Electronics,ElectroMax,USER00024,54,M,3,Nothing special. Could be better.,2025-03-31,False,22,76,neutral,5
REV000092,PROD0516,Dress,Fashion,StyleHub,USER00939,21,Other,5,Very happy with this Dress. Great color,2025-02-15,True,53,79,positive,7
REV000093,PROD0158,Shoes,Fashion,StyleHub,USER01991,59,F,5,Very happy with this Shoes. Perfect fit,2023-10-28,True,6,64,positive,7
REV000094,PROD0158,Shoes,Fashion,UrbanFit,USER02556,40,M,3,Average quality. Could be better. :),2025-02-24,False,3,96,neutral,6
REV000095,PROD0158,Shoes,Fashion,FashionForward,USER00899,23,F,5,Looks exactly like the picture. Worth every penny!,2025-01-19,False,4,59,positive,8
REV000096,PROD0369,Microwave,Home Appliances,SmartHome,USER04333,38,F,2,Stopped working after 2 months. Would not recommend. #waste,2023-10-11,True,83,100,negative,9
REV000097,PROD0476,Jacket,Fashion,TrendyWear,USER02316,32,F,4,Perfect fit. Worth every penny! :(,2023-11-30,True,7,67,positive,6
REV000098,PROD0194,Air Conditioner,Home Appliances,PowerSave,USER00903,23,Other,5,Very happy with this Air Conditioner. Quiet operation,2023-11-25,False,69,87,positive,8
REV000099,PROD0742,Tablet,Electronics,FutureTech,USER03028,36,F,3,AVERAGE TABLET. AVERAGE BATTERY LIFE. PRICE COULD BE LOWER,2024-10-16,True,62,66,neutral,9
REV000100,PROD0182,Washing Machine,Home Appliances,SmartHome,USER04478,26,F,3,Average performance. Could be better. ...,2023-08-04,False,29,98,neutral,6
REV000101,PROD0742,Tablet,Electronics,DigiWorld,USER02757,35,F,3,Mixed feelings about Tablet. Works as expected,2025-07-06,False,3,15,neutral,7
REV000102,PROD0428,Refrigerator,Home Appliances,EcoLiving,USER03368,64,M,3,REFRIGERATOR IS OKAY. BASIC FEATURES ONLY,2024-12-09,True,71,99,neutral,6
REV000103,PROD0707,Smartphone,Electronics,DigiWorld,USER00122,27,M,3,mixed feelings about smartphone. nothing special ⭐,2024-12-17,True,76,86,neutral,7
REV000104,PROD0428,Refrigerator,Home Appliances,HomeEasy,USER02948,64,M,1,Disappointed with Refrigerator. Consumes too much power. Not worth the money 👍,2023-11-30,True,71,73,negative,12
REV000105,PROD0584,Cricket Bat,Sports,ActiveGear,USER04841,39,Other,1,overpriced. not worth the money. want refund!,2024-07-21,True,43,52,negative,7
REV000106,PROD0394,Shampoo,Beauty,PureGlow,USER02551,44,Other,1,Disappointed with Shampoo. Strong chemical smell. Not worth the money,2023-08-12,True,18,21,negative,10
REV000107,PROD0742,Tablet,Electronics,ElectroMax,USER01491,37,Other,1,Disappointed with Tablet. Overheating issues. Not worth the money,2023-11-25,False,74,81,negative,9
REV000108,PROD0158,Shoes,Fashion,TrendyWear,USER03153,25,F,3,Shoes is okay. Average quality 👍,2023-08-10,True,83,97,neutral,6
REV000109,PROD0321,Dumbbells,Sports,SportZone,USER03810,25,Other,3,Basic quality. Could be better.,2023-08-22,True,85,93,neutral,5
REV000110,PROD0428,Refrigerator,Home Appliances,AppliancePro,USER00395,59,F,3,Basic features only. Could be better.,2025-06-18,True,6,34,neutral,6
REV000111,PROD0359,Jeans,Fashion,TrendyWear,USER02780,28,M,1,Disappointed with Jeans. Color faded after wash. Not worth the money,2024-11-14,True,39,46,negative,11
REV000112,PROD0103,Vacuum Cleaner,Home Appliances,EcoLiving,USER04023,29,Other,5,Easy to use. Worth every penny!,2025-02-18,False,39,78,positive,6
REV000113,PROD0369,Microwave,Home Appliances,SmartHome,USER03946,56,Other,4,5 stars! works perfectly. fast delivery too!,2025-05-24,False,33,43,positive,7
REV000114,PROD0182,Washing Machine,Home Appliances,PowerSave,USER04042,61,M,3,Washing Machine is okay. Does the job 😊,2024-03-23,True,6,47,neutral,8
REV000115,PROD0516,Dress,Fashion,UrbanFit,USER03474,51,F,3,dress  is  okay.  average  quality,2023-12-16,True,34,84,neutral,5
REV000116,PROD0205,Smartwatch,Electronics,SmartLife,USER01453,28,Other,4,5 stars! Excellent display quality. 😊,2024-06-13,True,73,74,positive,6
REV000117,PROD0584,Cricket Bat,Sports,ActiveGear,USER00846,21,F,4,EXCELLENT CRICKET BAT! GOOD FOR WORKOUTS. HIGHLY RECOMMEND!,2024-09-12,True,93,99,positive,8
REV000118,PROD0584,Cricket Bat,Sports,FitLife,USER04454,20,F,5,Excellent Cricket Bat! Comfortable grip. Highly recommend!,2024-07-22,True,5,60,positive,7
REV000119,PROD0516,Dress,Fashion,StyleHub,USER04636,42,F,3,mixedfeelings about dress. material is okay,2024-08-06,True,67,83,neutral,6
REV000120,PROD0334,Running Shoes,Sports,FitLife,USER02711,39,F,3,Running Shoes is okay. Basic quality 😞,2025-02-10,True,34,68,neutral,7
REV000121,PROD0709,Face Wash,Beauty,PureGlow,USER00189,39,F,1,Disappointed with Face Wash. Too expensive for quality. Not worth the money,2025-02-18,True,8,16,negative,12
REV000122,PROD0158,Shoes,Fashion,UrbanFit,USER02973,53,Other,3,Average Shoes. Average quality. Price could be lower,2024-06-25,True,22,70,neutral,8
REV000123,PROD0020,Lipstick,Beauty,BeautyEssence,USER04881,47,M,3,Lipstick is okay. Nothing extraordinary 😊,2025-04-19,False,54,80,neutral,6
REV000124,PROD0707,Smartphone,Electronics,SmartLife,USER01085,51,Other,3,Decent for the price. Could be better.,2023-09-12,True,21,87,neutral,7
REV000125,PROD0584,Cricket Bat,Sports,SportZone,USER04328,52,F,3,AVERAGE DURABILITY. COULD BE BETTER.,2024-06-17,True,16,87,neutral,5
REV000126,PROD0936,T-Shirt,Fashion,TrendyWear,USER02758,20,M,5,Excellent T-Shirt! Comfortable material. Highly recommend!,2025-05-04,True,52,75,positive,6
REV000127,PROD0516,Dress,Fashion,UrbanFit,USER04556,34,Other,3,MIXED FEELINGS ABOUT DRESS. FITS OKAY,2023-08-18,True,43,96,neutral,6
REV000128,PROD0742,Tablet,Electronics,SmartLife,USER01617,37,F,3,Average Tablet. Works as expected. Price could be lower #hate,2024-03-05,False,68,97,neutral,10
REV000129,PROD0516,Dress,Fashion,TrendyWear,USER04335,53,Other,3,AVERAGE DRESS. AVERAGE QUALITY. PRICE COULD BE LOWER,2025-03-18,False,59,82,neutral,8
REV000130,PROD0020,Lipstick,Beauty,NaturalBeauty,USER01810,41,F,5,5 stars! Gentle on skin.,2025-06-24,True,3,11,positive,5
REV000131,PROD0205,Smartwatch,Electronics,TechPro,USER01955,46,F,3,Smartwatch is okay. Average battery life 😞,2024-07-06,True,60,71,neutral,7
REV000132,PROD0453,Face Cream,Beauty,PureGlow,USER01992,43,F,1,STRONG CHEMICAL SMELL. WOULD NOT RECOMMEND.,2024-01-16,True,91,93,negative,6
REV000133,PROD0020,Lipstick,Beauty,SkinCare+,USER00078,38,Other,3,Average  Lipstick.  Nothing  extraordinary.  Price  could  be  lower,2024-09-22,False,73,99,neutral,8
REV000134,PROD0453,Face Cream,Beauty,SkinCare+,USER00684,58,M,2,Disappointed with Face Cream. No visible results. Not worth the money 😞 #hate,2024-06-15,False,29,67,negative,13
REV000135,PROD0936,T-Shirt,Fashion,StyleHub,USER03212,64,M,3,Mixed feelings about T-Shirt. Average quality,2024-07-10,True,42,43,neutral,6
REV000136,PROD0321,Dumbbells,Sports,ProAthletic,USER04088,26,F,3,Average Dumbbells. Decent for casual use. Price could be lower 😊,2024-11-08,False,38,52,neutral,11
REV000137,PROD0936,T-Shirt,Fashion,StyleHub,USER01894,34,M,4,Very happy with this T-Shirt. Great color,2024-11-08,True,100,101,positive,7
REV000138,PROD0742,Tablet,Electronics,SmartLife,USER04488,35,Other,3,average tablet. nothing special. price could be lower,2023-09-19,True,87,93,neutral,8
